集团名称,牵头单位,示范性职业教育集团（联盟）培育单位,集团类型,主管机构,成员数据来源,链接,成员名称,成员类型,学校名称,办学层次
北京商贸职业教育集团,北京财贸职业学院,第一批,职业教育,北京市,北京财贸职业学院,https://www.bjczy.edu.cn/folder276/folder546/2022-09-30/NNPh6xkzXLLTJ9WZ.html,纽约州立大学坎顿技术学院,本科院校,,
北京商贸职业教育集团,北京财贸职业学院,第一批,职业教育,北京市,北京财贸职业学院,https://www.bjczy.edu.cn/folder276/folder546/2022-09-30/NNPh6xkzXLLTJ9WZ.html,英国伦敦艺术大学,本科院校,,
北京商贸职业教育集团,北京财贸职业学院,第一批,职业教育,北京市,北京财贸职业学院,https://www.bjczy.edu.cn/folder276/folder546/2022-09-30/NNPh6xkzXLLTJ9WZ.html,英国北安普顿大学,本科院校,,
北京商贸职业教育集团,北京财贸职业学院,第一批,职业教育,北京市,北京财贸职业学院,https://www.bjczy.edu.cn/folder276/folder546/2022-09-30/NNPh6xkzXLLTJ9WZ.html,台湾大华科技大学,本科院校,,
北京商贸职业教育集团,北京财贸职业学院,第一批,职业教育,北京市,北京财贸职业学院,https://www.bjczy.edu.cn/folder276/folder546/2022-09-30/NNPh6xkzXLLTJ9WZ.html,台湾台中科技大学,本科院校,,
北京商贸职业教育集团,北京财贸职业学院,第一批,职业教育,北京市,北京财贸职业学院,https://www.bjczy.edu.cn/folder276/folder546/2022-09-30/NNPh6xkzXLLTJ9WZ.html,台湾龙华科技大学台,本科院校,,
北京商贸职业教育集团,北京财贸职业学院,第一批,职业教育,北京市,北京财贸职业学院,https://www.bjczy.edu.cn/folder276/folder546/2022-09-30/NNPh6xkzXLLTJ9WZ.html,台湾建国科技大学,本科院校,,
北京商贸职业教育集团,北京财贸职业学院,第一批,职业教育,北京市,北京财贸职业学院,https://www.bjczy.edu.cn/folder276/folder546/2022-09-30/NNPh6xkzXLLTJ9WZ.html,台湾致理科技大学,本科院校,,
北京商贸职业教育集团,北京财贸职业学院,第一批,职业教育,北京市,北京财贸职业学院,https://www.bjczy.edu.cn/folder276/folder546/2022-09-30/NNPh6xkzXLLTJ9WZ.html,台湾高雄餐旅大学,本科院校,,
北京商贸职业教育集团,北京财贸职业学院,第一批,职业教育,北京市,北京财贸职业学院,https://www.bjczy.edu.cn/folder276/folder546/2022-09-30/NNPh6xkzXLLTJ9WZ.html,北京商报社有限公司,企业单位,,
北京商贸职业教育集团,北京财贸职业学院,第一批,职业教育,北京市,北京财贸职业学院,https://www.bjczy.edu.cn/folder276/folder546/2022-09-30/NNPh6xkzXLLTJ9WZ.html,中国商报,企业单位,,
北京商贸职业教育集团,北京财贸职业学院,第一批,职业教育,北京市,北京财贸职业学院,https://www.bjczy.edu.cn/folder276/folder546/2022-09-30/NNPh6xkzXLLTJ9WZ.html,中国商务出版社,企业单位,,
北京商贸职业教育集团,北京财贸职业学院,第一批,职业教育,北京市,北京财贸职业学院,https://www.bjczy.edu.cn/folder276/folder546/2022-09-30/NNPh6xkzXLLTJ9WZ.html,高等教育出版社,企业单位,,
北京商贸职业教育集团,北京财贸职业学院,第一批,职业教育,北京市,北京财贸职业学院,https://www.bjczy.edu.cn/folder276/folder546/2022-09-30/NNPh6xkzXLLTJ9WZ.html,中国非物质文化遗产保护协会 非议教育研究会,行业协会,,
北京商贸职业教育集团,北京财贸职业学院,第一批,职业教育,北京市,北京财贸职业学院,https://www.bjczy.edu.cn/folder276/folder546/2022-09-30/NNPh6xkzXLLTJ9WZ.html,北京教育科学研究院,研究机构,,
北京商贸职业教育集团,北京财贸职业学院,第一批,职业教育,北京市,北京财贸职业学院,https://www.bjczy.edu.cn/folder276/folder546/2022-09-30/NNPh6xkzXLLTJ9WZ.html,厦门九九网智科技有限公司,企业单位,,
北京商贸职业教育集团,北京财贸职业学院,第一批,职业教育,北京市,北京财贸职业学院,https://www.bjczy.edu.cn/folder276/folder546/2022-09-30/NNPh6xkzXLLTJ9WZ.html,北京知链科技有限公司,企业单位,,
