集团名称,集团类型,主管机构,牵头单位,成员名称,成员类型,黑色数据来源,成员数据来源,链接,其他备注
东莞市塘厦镇第一幼儿园教育集团,基础教育,广东省，东莞市,东莞市塘厦镇第一幼儿园,东莞市塘厦美心幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市凤岗镇中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市凤岗镇中心幼儿园,东莞市凤岗镇第一幼儿园,幼儿园,当地教育厅或政府公告,,,
丹东市实验小学教育集团,基础教育,辽宁省，丹东市,,,小学,当地教育厅或政府公告,,,
丹东三幼教育集团,基础教育,辽宁省，丹东市,,,幼儿园,当地教育厅或政府公告,,,
丹东五中教育集团,基础教育,辽宁省，丹东市,,,初中,当地教育厅或政府公告,,,
丹东六中教育集团,基础教育,辽宁省，丹东市,,,初中,当地教育厅或政府公告,,,
丹东十三中教育集团,基础教育,辽宁省，丹东市,,,初中,当地教育厅或政府公告,,,
丹东十七中教育集团,基础教育,辽宁省，丹东市,,,初中,当地教育厅或政府公告,,,
丹东十九中教育集团,基础教育,辽宁省，丹东市,,,初中,当地教育厅或政府公告,,,
丹东一中教育集团,基础教育,辽宁省，丹东市,,,高中,当地教育厅或政府公告,,,
丹东二中教育集团,基础教育,辽宁省，丹东市,,,高中,当地教育厅或政府公告,,,
丹东四中教育集团,基础教育,辽宁省，丹东市,,,高中,当地教育厅或政府公告,,,
丹东朝中教育集团,基础教育,辽宁省，丹东市,,,中学,当地教育厅或政府公告,,,
临安区天目学前教育集团,基础教育,浙江省，杭州市,,锦城中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区天目学前教育集团,基础教育,浙江省，杭州市,,锦城中心幼儿园春天园区,幼儿园,当地教育厅或政府公告,,,
临安区锦城街道学前教育集团,基础教育,浙江省，杭州市,,锦城街道中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区锦城街道学前教育集团,基础教育,浙江省，杭州市,,锦城街道中心幼儿园临安人家园区,幼儿园,当地教育厅或政府公告,,,
临安区锦城街道学前教育集团,基础教育,浙江省，杭州市,,锦城街道中心幼儿园公园城园区,幼儿园,当地教育厅或政府公告,,,
临安区锦城街道新城学前教育集团,基础教育,浙江省，杭州市,,锦城街道新城幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区锦城街道新城学前教育集团,基础教育,浙江省，杭州市,,锦城街道新城幼儿园优樾府园区,幼儿园,当地教育厅或政府公告,,,
临安区锦北街道学前教育集团,基础教育,浙江省，杭州市,,锦北街道中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区锦北街道学前教育集团,基础教育,浙江省，杭州市,,锦北街道中心幼儿园吴越人家园区,幼儿园,当地教育厅或政府公告,,,
临安区锦北街道学前教育集团,基础教育,浙江省，杭州市,,锦北街道中心幼儿园潘山园区,幼儿园,当地教育厅或政府公告,,,
临安区锦北街道学前教育集团,基础教育,浙江省，杭州市,,锦北街道中心幼儿园清煦里园区,幼儿园,当地教育厅或政府公告,,,
临安区锦北街道马溪学前教育集团,基础教育,浙江省，杭州市,,锦北街道马溪幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区锦北街道马溪学前教育集团,基础教育,浙江省，杭州市,,锦北街道马溪幼儿园苕溪园区,幼儿园,当地教育厅或政府公告,,,
临安区锦北街道马溪学前教育集团,基础教育,浙江省，杭州市,,锦北街道马溪幼儿园宝龙园区,幼儿园,当地教育厅或政府公告,,,
临安区锦南街道学前教育集团,基础教育,浙江省，杭州市,,锦南街道中心幼儿园御城园区,幼儿园,当地教育厅或政府公告,,,
临安区锦南街道学前教育集团,基础教育,浙江省，杭州市,,锦南街道中心幼儿园上畔园区,幼儿园,当地教育厅或政府公告,,,
临安区锦南街道学前教育集团,基础教育,浙江省，杭州市,,锦南街道中心幼儿园吴越府园区,幼儿园,当地教育厅或政府公告,,,
临安区玲珑街道学前教育集团,基础教育,浙江省，杭州市,,玲珑街道中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区玲珑街道学前教育集团,基础教育,浙江省，杭州市,,玲珑街道中心幼儿园高坎园区,幼儿园,当地教育厅或政府公告,,,
临安区玲珑街道学前教育集团,基础教育,浙江省，杭州市,,玲珑街道中心幼儿园夏禹桥园区,幼儿园,当地教育厅或政府公告,,,
临安区玲珑街道学前教育集团,基础教育,浙江省，杭州市,,玲珑街道中心幼儿园大山园区,幼儿园,当地教育厅或政府公告,,,
临安区玲珑街道启恒学前教育集团,基础教育,浙江省，杭州市,,玲珑街道启恒幼儿园本部园区国,幼儿园,当地教育厅或政府公告,,,
临安区玲珑街道启恒学前教育集团,基础教育,浙江省，杭州市,,玲珑街道启恒幼儿园左邻右里园区,幼儿园,当地教育厅或政府公告,,,
临安区玲珑街道启恒学前教育集团,基础教育,浙江省，杭州市,,玲珑街道启恒幼儿园文景园区,幼儿园,当地教育厅或政府公告,,,
临安区青山湖街道学前教育集团,基础教育,浙江省，杭州市,,青山湖街道中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区青山湖街道学前教育集团,基础教育,浙江省，杭州市,,青山湖街道中心幼儿园大园新城园区,幼儿园,当地教育厅或政府公告,,,
临安区青山湖街道学前教育集团,基础教育,浙江省，杭州市,,青山湖街道中心幼儿园杭氧和院园区,幼儿园,当地教育厅或政府公告,,,
临安区青山湖街道星汇学前教育集团,基础教育,浙江省，杭州市,,青山湖街道星汇幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区青山湖街道星汇学前教育集团,基础教育,浙江省，杭州市,,青山湖街道星汇幼儿园中天珺府园区,幼儿园,当地教育厅或政府公告,,,
临安区青山湖街道横畈学前教育集团,基础教育,浙江省，杭州市,,青山湖街道横畈幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区青山湖街道横畈学前教育集团,基础教育,浙江省，杭州市,,青山湖街道横畈幼儿园潘洪园区,幼儿园,当地教育厅或政府公告,,,
临安区青山湖街道横畈学前教育集团,基础教育,浙江省，杭州市,,青山湖街道横畈幼儿园庆北园区,幼儿园,当地教育厅或政府公告,,,
临安区太湖源镇学前教育集团,基础教育,浙江省，杭州市,,太湖源镇中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
临安区太湖源镇学前教育集团,基础教育,浙江省，杭州市,,太湖源镇中心幼儿园临目教学点,幼儿园,当地教育厅或政府公告,,,
临安区太湖源镇学前教育集团,基础教育,浙江省，杭州市,,太湖源镇中心幼儿园杨岭园区,幼儿园,当地教育厅或政府公告,,,
临安区板桥镇学前教育集团,基础教育,浙江省，杭州市,,板桥镇中心幼儿园本部园区,幼儿园,当地教育厅或政府公告,,,
