学校名称,学校标识码,主管部门,所在省份,所在城市,办学层次,学校性质
郑州经贸学院,4141013508.0,河南省教育厅,河南省,郑州市,本科,民办
商丘学院,4141014003.0,河南省教育厅,河南省,商丘市,本科,民办
郑州商学院,4141014040.0,河南省教育厅,河南省,郑州市,本科,民办
河南科技职业大学,4141014169.0,河南省教育厅,河南省,周口市,本科,民办
郑州升达经贸管理学院,4141014333.0,河南省教育厅,河南省,郑州市,本科,民办
郑州西亚斯学院,4141014654.0,河南省教育厅,河南省,郑州市,本科,民办
河南职业技术学院,4141010824.0,河南省,河南省,郑州市,专科,公办
漯河职业技术学院,4141010835.0,河南省,河南省,漯河市,专科,公办
三门峡职业技术学院,4141010842.0,河南省,河南省,三门峡市,专科,公办
郑州铁路职业技术学院,4141010843.0,河南省,河南省,郑州市,专科,公办
开封大学,4141011069.0,河南省,河南省,开封市,专科,公办
焦作大学,4141011522.0,河南省,河南省,焦作市,专科,公办
濮阳职业技术学院,4141011787.0,河南省,河南省,濮阳市,专科,公办
郑州电力高等专科学校,4141011828.0,河南省,河南省,郑州市,专科,公办
黄河水利职业技术学院,4141012058.0,河南省,河南省,开封市,专科,公办
许昌职业技术学院,4141012067.0,河南省,河南省,许昌市,专科,公办
河南工业和信息化职业学院,4141012581.0,河南省,河南省,焦作市,专科,公办
河南水利与环境职业学院,4141012582.0,河南省,河南省,郑州市,专科,公办
