学校名称,学校标识码,主管部门,所在省份,所在城市,办学层次,学校性质
江西生物科技职业学院,4136013426,江西省,江西省,南昌市,专科,公办
江西建设职业技术学院,4136013427,江西省,江西省,南昌市,专科,公办
抚州职业技术学院,4136013428,江西省,江西省,抚州市,专科,公办
江西中医药高等专科学校,4136013775,江西省,江西省,抚州市,专科,公办
江西经济管理职业学院,4136013866,江西省,江西省,南昌市,专科,公办
江西制造职业技术学院,4136013867,江西省,江西省,南昌市,专科,公办
江西工程职业学院,4136013868,江西省,江西省,南昌市,专科,公办
江西青年职业学院,4136013869,江西省,江西省,南昌市,专科,公办
上饶职业技术学院,4136013870,江西省,江西省,上饶市,专科,公办
江西航空职业技术学院,4136013871,江西省教育厅,江西省,南昌市,专科,民办
江西农业工程职业学院,4136013872,江西省,江西省,宜春市,专科,公办
赣西科技职业学院,4136013873,江西省教育厅,江西省,新余市,专科,民办
江西卫生职业学院,4136013965,江西省,江西省,南昌市,专科,公办
江西新能源科技职业学院,4136014166,江西省教育厅,江西省,新余市,专科,民办
江西枫林涉外经贸职业学院,4136014167,江西省教育厅,江西省,九江市,专科,民办
江西泰豪动漫职业学院,4136014168,江西省教育厅,江西省,南昌市,专科,民办
江西冶金职业技术学院,4136014241,江西省,江西省,新余市,专科,公办
江西管理职业学院,4136014249,江西省,江西省,南昌市,专科,公办
江西传媒职业学院,4136014250,江西省,江西省,南昌市,专科,公办
江西工商职业技术学院,4136014321,江西省教育厅,江西省,南昌市,专科,民办
景德镇陶瓷职业技术学院,4136014402,江西省教育厅,江西省,景德镇市,专科,民办
共青科技职业学院,4136014403,江西省教育厅,江西省,九江市,专科,民办
赣州师范高等专科学校,4136014465,江西省,江西省,赣州市,专科,公办
江西水利职业学院,4136014476,江西省,江西省,南昌市,专科,公办
宜春幼儿师范高等专科学校,4136014494,江西省,江西省,宜春市,专科,公办
吉安职业技术学院,4136014504,江西省,江西省,吉安市,专科,公办
江西洪州职业学院,4136014505,江西省教育厅,江西省,宜春市,专科,民办
江西师范高等专科学校,4136014537,江西省       ,江西省,鹰潭市,专科,公办
南昌影视传播职业学院,4136014544,江西省教育厅,江西省,南昌市,专科,民办
赣南卫生健康职业学院,4136014569,江西省,江西省,赣州市,专科,公办
萍乡卫生职业学院,4136014656,江西省,江西省,萍乡市,专科,公办
江西婺源茶业职业学院,4136014657,江西省,江西省,上饶市,专科,公办
赣州职业技术学院,4136014665,江西省,江西省,赣州市,专科,公办
南昌健康职业技术学院,4136014705,江西省,江西省,南昌市,专科,公办
九江理工职业学院,4136014706,江西省教育厅,江西省,九江市,专科,民办
和君职业学院,4136014748,江西省教育厅,江西省,赣州市,专科,民办
山东大学,4137010422,教育部,山东省,济南市,本科,公办
中国海洋大学,4137010423,教育部,山东省,青岛市,本科,公办
山东科技大学,4137010424,山东省,山东省,青岛市,本科,公办
中国石油大学（华东）,4137010425,教育部,山东省,青岛市,本科,公办
青岛科技大学,4137010426,山东省,山东省,青岛市,本科,公办
济南大学,4137010427,山东省,山东省,济南市,本科,公办
青岛理工大学,4137010429,山东省,山东省,青岛市,本科,公办
山东建筑大学,4137010430,山东省,山东省,济南市,本科,公办
齐鲁工业大学,4137010431,山东省,山东省,济南市,本科,公办
山东理工大学,4137010433,山东省,山东省,淄博市,本科,公办
山东农业大学,4137010434,山东省,山东省,泰安市,本科,公办
青岛农业大学,4137010435,山东省,山东省,青岛市,本科,公办
潍坊医学院,4137010438,山东省,山东省,潍坊市,本科,公办
山东第一医科大学,4137010439,山东省,山东省,济南市,本科,公办
滨州医学院,4137010440,山东省,山东省,滨州市,本科,公办
山东中医药大学,4137010441,山东省,山东省,济南市,本科,公办
济宁医学院,4137010443,山东省,山东省,济宁市,本科,公办
山东师范大学,4137010445,山东省,山东省,济南市,本科,公办
