数据源名称,数据源类型,来源,地区,内容说明,网址,备注
汉中职业教育集团组织机构及合作单位清单,成员名单,汉中职业技术学院,陕西省,汉中职业教育集团组织机构及合作单位清单,http://jxcg.hzvtc.cn/info/1018/1117.htm,
河北省旅游职业教育集团第二届理事会机构名单,成员名单,河北省旅游职业教育集团,河北省,河北省旅游职业教育集团第二届理事会机构名单,https://www.hbly.edu.cn/hblyzjjt/jtgk/zzjg.htm,
河北省土木建筑职业教育集团-集团成员,成员名单,河北省土木建筑职业教育集团,河北省,河北省土木建筑职业教育集团-集团成员,http://zyzx.sirt.edu.cn/a/jtcy/,
河北省装备制造业职业教育集团-理事单位汇总表,成员名单,河北省装备制造业职业教育集团,河北省,河北省装备制造业职业教育集团-理事单位汇总表,http://ks.hbjd.com.cn/jyjt/article-view-id-178.html,
河北省装备制造业职业教育集团-常务理事会名单,管理层名单,河北省装备制造业职业教育集团,河北省,河北省装备制造业职业教育集团-常务理事会名单,http://ks.hbjd.com.cn/jyjt/article-view-id-178.html,
河南省农业职业教育集团成员单位,成员名单,河南省农业职业教育集团,河南省,河南省农业职业教育集团成员单位,https://www.hnca.edu.cn/hnnyzjjt/info/1023/1154.htm,
河南省农业职业教育集团理事会组成,管理层名单,河南省农业职业教育集团,河南省,河南省农业职业教育集团理事会组成,https://www.hnca.edu.cn/hnnyzjjt/info/1022/1152.htm,
黑龙江省级示范性职业教育集团,集团名单,黑龙江省教育厅,黑龙江省,黑龙江省教育厅2019-10-24发布的2019年省级示范性职业教育集团（联盟）暨推荐全国示范性职业教育集团（联盟）名单,http://jyt.hlj.gov.cn/article/index?id=3578,
黑龙江省第二批全国示范性职业教育集团（联盟）培育单位名单,集团名单,黑龙江省教育厅,黑龙江省,黑龙江省教育厅2020-11-13发布的关于推荐第二批全国示范性职业教育集团（联盟）培育单位名单公示,http://jyt.hlj.gov.cn/article/index?id=3502,
湖北轨道交通职业教育集团成员单位,成员名单,武汉铁路职业技术学院,湖北省,湖北轨道交通职业教育集团成员单位,https://zjjt.wru.edu.cn/info/1057/1183.htm,
湖北交通职业教育集团-集团成员,成员名单,湖北交通职业技术学院,湖北省,湖北交通职业教育集团-集团成员,http://www.hbctc.edu.cn/zjjt/jtcy.htm,
湖南建筑职业教育集团成员单位,成员名单,湖南城建职业技术学院,湖南省,湖南建筑职业教育集团成员单位,https://hnjzzjjt.hnucc.com/jtgk/cydw.htm,
湖南现代物流职业教育集团-集团成员单位,成员名单,湖南现代物流职业技术学院,湖南省,湖南现代物流职业教育集团-集团成员单位,http://zjjt.56edu.com/info/1993/2395.htm,
湖南现代物流职业教育集团第二届理事会,管理层名单,湖南现代物流职业技术学院,湖南省,湖南现代物流职业教育集团第二届理事会,http://zjjt.56edu.com/info/1531/2302.htm,
吉林省“农字号”现代职业教育集团,成立公告,吉林省教育厅,吉林省,吉林省“农字号”现代职业教育集团在吉林工程职业学院隆重成立！ 20210104,http://jyt.jl.gov.cn/jydt/gjssdt/202101/t20210104_7882192.html,
嘉兴市欣禾职业教育集团成员单位名单,成员名单,嘉兴职业技术学院,浙江省,嘉兴市欣禾职业教育集团成员单位名单,http://www.jxveg.org/show.asp?id=138,
嘉兴市欣禾职业教育集团成员单位名单(截止到2013年1月5日),管理层名单,嘉兴职业技术学院,浙江省,嘉兴市欣禾职业教育集团成员单位名单(截止到2013年1月5日),http://www.jxveg.org/show.asp?id=138,
江苏化工职业教育集团-成员单位,成员名单,江苏化工职业教育集团,江苏省,江苏化工职业教育集团-成员单位,https://www.njpi.edu.cn/zjjt/2562/list.htm,
江苏化工职业教育集团第三届集团名誉理事长、理事长、副理事长、秘书长、常务理事、理事名单,管理层名单,江苏化工职业教育集团,江苏省,江苏化工职业教育集团第三届集团名誉理事长、理事长、副理事长、秘书长、常务理事、理事名单,https://www.njpi.edu.cn/zjjt/52/be/c2557a21182/page.htm,
江苏食品职业教育集团-成员风采,成员名单,江苏食品药品职业技术学院,江苏省,江苏食品职业教育集团成员名单,https://spzjjt.jsfpc.edu.cn/1538/list.htm,
江苏信息职教集团-成员名单,成员名单,南京信息职业技术学院,江苏省,江苏信息职教集团-成员名单,https://zjjt.njcit.cn/cymd/list.htm,
江苏信息职教集团第二届理事长、副理事长、秘书长、常务理事单位名单,管理层名单,南京信息职业技术学院,江苏省,江苏信息职教集团第二届理事长、副理事长、秘书长、常务理事单位名单,https://zjjt.njcit.cn/2020/1204/c4580a116451/page.htm,
江西财经职教集团-集团成员,成员名单,江西财经职业学院,江西省,江西财经职教集团-集团成员,http://zjjt.jxvc.jx.cn/jtcy.htm,
江西林业职业教育集团成员单位名单,成员名单,江西环境工程职业学院,江西省,江西林业职业教育集团成员单位名单,http://jxhjxy.com/lyzjjt/cyfc/content_31306,
江西旅游职业教育集团-成员单位,成员名单,江西省旅游职业教育集团,江西省,江西旅游职业教育集团-成员单位,https://jxlj.jxlsxy.com/jtgk/cysw/index.htm,
江西旅游职业教育集团第一届理事会名单,管理层名单,江西省旅游职业教育集团,江西省,江西旅游职业教育集团第一届理事会名单,https://jxlj.jxlsxy.com/jtgk/zzjg/28220.htm,
第一批示范性职业教育集团（联盟）培育单位名单,集团名单,中华人民共和国教育部,全国,教育部职业教育与成人教育司2020年10月15日发布的，《第一批示范性职业教育集团（联盟）培育单位名单》,http://www.moe.gov.cn/s78/A07/A07_sjhj/202010/t20201016_495041.html,
第二批示范性职业教育集团（联盟）培育单位名单,集团名单,中华人民共和国教育部,全国,教育部职业教育与成人教育司2021年6月4日发布的，《第二批示范性职业教育集团（联盟）培育单位名单》,http://www.moe.gov.cn/s78/A07/A07_sjhj/202106/t20210607_536268.html,
内蒙古机电职业教育集团理事单位名单,成员名单,内蒙古机电职业技术学院,内蒙古自治区,内蒙古机电职业教育集团理事单位名单,https://www.nmgjdxy.com/zjjt/jtcy/201912/t20191219_14410.html,
