学校名称,学校标识码,主管部门,所在省份,所在城市,办学层次,学校性质,985工程_加入时间,985工程_入选批次,985工程_共建部门,985工程_期数,985工程_协议签署时间,985工程_实力梯队,双一流建设,双一流建设_第一轮,双一流建设_第一轮_类别,双一流建设_第二轮,双一流建设_第二轮_学科名单,骨干高职,骨干高职_重点建设专业,示范性高职,示范性高职_重点建设专业,教育部直属,中央部委直属,强基计划,双高计划,学校类别,创建时间,学校地址,学校官网,学校简称,曾用名,占地面积（亩）,985工程,211工程,预算总收入（亿元，2022年）,本年度收入（亿元，2022年）,财政拨款数（亿元，2022年）,财政拨款占比（2022年）,人工补全记录
福建中医药大学,4135010393.0,福建省,福建省,福州市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,医药类,1958.0,"旗山校区：福建省福州市闽侯上街邱阳路1号,屏山校区：福建省福州市五四路282号",http://www.fjtcm.edu.cn/,"福建中医学院,福建中医药",福建中医学院,1030.0,0.0,0.0,6.13,5.02,,,
福建师范大学,4135010394.0,福建省,福建省,福州市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,师范类,1907.0,"仓山校区：福建省福州市仓山区上三路8号,旗山校区：福建省福州市大学城科技路1号",http://www.fjnu.edu.cn,"fjnu,福建师大,福建师范",,4000.0,0.0,0.0,15.03,14.03,,,
闽江学院,4135010395.0,福建省,福建省,福州市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2002.0,"校本部：福建省福州市大学城溪源宫路200号,工业路校区：福建省福州市工业路333号",http://www.mju.edu.cn/,"闽院,MJU",,2295.0,0.0,0.0,7.66,6.77,,,
武夷学院,4135010397.0,福建省,福建省,南平市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1958.0,"校本部：福建省武夷山市百花路358号,桃源校区：福建省武夷山市武夷大道26号",http://www.wuyiu.edu.cn/,,,3000.0,0.0,0.0,5.09,5.09,,,
宁德师范学院,4135010398.0,福建省,福建省,宁德市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,师范类,1958.0,"东侨校区：福建省宁德市东侨经济开发区学院路1号,蕉城校区：福建省宁德市蕉城区蕉城南路98-1号",http://www.ndnu.edu.cn/,宁德师范高等专科学校,,1215.0,0.0,0.0,3.25,3.0,,,
泉州师范学院,4135010399.0,福建省,福建省,泉州市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,师范类,1958.0,"泉州主校区：福建省泉州市丰泽区东海大街398号,南安校区：福建省泉州市南安市码头镇仙美街100号",http://www.qztc.edu.cn,"泉州师院,泉州师范",,2000.0,0.0,0.0,3.76,3.76,,,
闽南师范大学,4135010402.0,福建省,福建省,漳州市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,师范类,1958.0,福建省漳州市芗城区县前直街36号,http://www.mnnu.edu.cn/,闽南师大,,2000.0,0.0,0.0,5.95,5.82,,,
厦门理工学院,4135011062.0,福建省,福建省,厦门市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1981.0,福建省厦门市集美区理工路600号,http://www.xmut.edu.cn/,"厦门理工,XMUT,厦门理工大学",,1927.0,0.0,0.0,8.39,8.39,,,
三明学院,4135011311.0,福建省,福建省,三明市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1903.0,福建省三明市荆东路25号,http://www.fjsmu.cn,,,1421.0,0.0,0.0,2.56,2.56,,,
龙岩学院,4135011312.0,福建省,福建省,龙岩市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1958.0,福建省龙岩市东肖北路1号,http://www.lyun.edu.cn/,LYUN,,1300.0,0.0,0.0,3.01,3.01,,,
福建商学院,4135011313.0,福建省,福建省,福州市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,财经类,1906.0,"鼓楼校区：福建省福州市鼓楼区黄铺19号,连江校区：福建省福州市连江县西江滨大道2号,马尾校区：福建省福州市马尾区亭江镇亭江路8号",http://www.fjbu.edu.cn/,"FJBU,FJCC",福建商业高等专科学校,1500.0,0.0,0.0,2.77,2.66,,,
福建警察学院,4135011495.0,福建省,福建省,福州市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,政法类,1949.0,福建省福州市仓山区首山路59号,http://www.fjpsc.edu.cn/,,,513.0,0.0,0.0,2.16,1.66,,,
莆田学院,4135011498.0,福建省,福建省,莆田市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2002.0,"校本部：福建省莆田市城厢区学园中街1133号,紫霄校区：福建省莆田市荔城区西天尾镇紫霄东路2121号",http://www.ptu.edu.cn/,莆院,,2970.0,0.0,0.0,,,,,
仰恩大学,4135011784.0,福建省教育厅,福建省,泉州市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1987.0,福建省泉州市洛江区马甲镇仰恩大学,http://www.yeu.edu.cn,"YEU,仰大,仰恩",,2000.0,0.0,0.0,,,,,
厦门医学院,4135012631.0,福建省,福建省,厦门市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,医药类,1898.0,福建省厦门市集美区灌口中路1999号,https://www.xmmc.edu.cn/,厦医,厦门医学高等专科学校,885.0,0.0,0.0,3.58,3.58,,,
厦门华厦学院,4135012709.0,福建省教育厅,福建省,厦门市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1993.0,福建省厦门市集美文教区天马路288号,https://www.hxxy.edu.cn/,华厦学院,,705.0,0.0,0.0,,,,,
闽南理工学院,4135012710.0,福建省教育厅,福建省,泉州市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1998.0,福建省泉州市石狮宝盖山风景区,http://www.mnust.edu.cn/,"闽南理工,MNUST",,1100.0,0.0,0.0,,,,,
泉州职业技术大学,4135012928.0,福建省教育厅,福建省,泉州市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1986.0,福建省晋江市内坑镇大学路1号,http://www.qzit.edu.cn,泉州理工,"泉州理工职业学院,泉州理工学院",564.0,0.0,0.0,,,,,
闽南科技学院,4135012992.0,福建省教育厅,福建省,泉州市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,2001.0,"康美校区：福建省泉州市南安市康美镇康元路8号,美林校区：福建省泉州市南安市柳美南路8号",http://www.mku.edu.cn/,"闽南科技学院,闽科",福建师范大学闽南科技学院,700.0,0.0,0.0,,,,,
福州工商学院,4135012993.0,福建省教育厅,福建省,福州市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,财经类,2002.0,福建省福州市永泰葛岭学院路1号,http://www.fzgsxy.edu.cn/,福工商,福建农林大学东方学院,1137.0,0.0,0.0,,,,,
厦门工学院,4135013115.0,福建省教育厅,福建省,厦门市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,2009.0,福建省厦门市集美区孙坂南路1251号,https://www.xit.edu.cn/,,华侨大学厦门工学院,1304.0,0.0,0.0,,,,,
阳光学院,4135013468.0,福建省教育厅,福建省,福州市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2001.0,福建省福州市经济技术开发区登龙路99号,http://www.ygu.edu.cn,,,1200.0,0.0,0.0,,,,,
厦门大学嘉庚学院,4135013469.0,福建省教育厅,福建省,漳州市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2003.0,福建省漳州市招商局漳州开发区厦门大学漳州校区嘉庚学院,https://www.xujc.com/,"厦大嘉庚,嘉庚学院",,2726.0,0.0,0.0,,,,,
福州大学至诚学院,4135013470.0,福建省教育厅,福建省,福州市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2003.0,福建省福州市鼓楼区杨桥西路50号,https://www.fdzcxy.edu.cn/,福大至诚,,500.0,0.0,0.0,,,,,
集美大学诚毅学院,4135013471.0,福建省教育厅,福建省,厦门市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2003.0,福建省厦门市集美区集美大道199号,http://chengyi.jmu.edu.cn/,"集大诚毅,诚毅学院",,550.0,0.0,0.0,,,,,
福建师范大学协和学院,4135013472.0,福建省教育厅,福建省,福州市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2003.0,福建省福州市闽侯上街大学城学府南路,http://cuc.fjnu.edu.cn/,师大协和学院,,1000.0,0.0,0.0,,,,,
福州外语外贸学院,4135013762.0,福建省教育厅,福建省,福州市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,财经类,2004.0,福建省福州市长乐区首占新区育环路28号,http://www.fzfu.com/,福州外语外贸职业技术学院,福州外语外贸职业技术学院,1500.0,0.0,0.0,,,,,
福建江夏学院,4135013763.0,福建省,福建省,福州市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,财经类,2010.0,福建省福州市闽侯县溪源宫路2号,https://www.fjjxu.edu.cn/,江夏学院,,1388.0,0.0,0.0,4.6,4.19,,,
泉州信息工程学院,4135013766.0,福建省教育厅,福建省,泉州市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,2002.0,福建省泉州市丰泽区博东路249号,http://www.qziedu.cn,泉信院,泉州信息职业技术学院,595.0,0.0,0.0,,,,,
福州理工学院,4135013773.0,福建省教育厅,福建省,福州市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,2004.0,福建省福州市连江西江滨大道8号,http://www.fit.edu.cn,福理工,,1174.0,0.0,0.0,,,,,
福建农林大学金山学院,4135014046.0,福建省教育厅,福建省,福州市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2006.0,福建省福州市仓山区上下店路15号,http://jsxy.fafu.edu.cn/,金山学院,,720.0,0.0,0.0,,,,,
福建技术师范学院,4135014683.0,福建省,福建省,福州市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,师范类,1977.0,福建省福清市龙江街道校园新村1号,http://www.fpnu.edu.cn,,,748.0,0.0,0.0,2.35,2.35,,,
福建船政交通职业学院,4135010866.0,福建省,福建省,福州市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,1.0,汽车检测与维修技术专业、道路桥梁工程技术专业、航海技术专业、轮机工程技术专业、机电一体化技术专业、安全技术管理专业、物流管理专业、计算机应用技术专业,0.0,0.0,0.0,1.0,理工类,1866.0,"首山校区：福建省福州市仓山区首山路80号,排下校区：福建省福州市仓山区螺州杜园12号",http://www.fjcpc.edu.cn/,福建交通职业技术学院,,700.0,0.0,0.0,,,,,
漳州职业技术学院,4135011314.0,福建省,福建省,漳州市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,1.0,计算机网络技术、应用电子技术、食品加工技术、物流管理、数控技术、建筑工程技术,0.0,0.0,0.0,1.0,理工类,1984.0,福建省漳州市芗城区大学路2号,http://www.fjzzit.edu.cn/,漳职院,,1250.0,0.0,0.0,,,,,
闽西职业技术学院,4135011315.0,福建省,福建省,龙岩市,专科,公办,,,,,,,0.0,0.0,,0.0,,1.0,数控技术、旅游管理、应用电子技术、建筑工程技术,0.0,,0.0,0.0,0.0,0.0,综合类,1983.0,福建省龙岩市闽大路8号,http://www.mxdx.net/,闽大,,844.0,0.0,0.0,,,,,
黎明职业大学,4135011317.0,福建省,福建省,泉州市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,1.0,综合类,1984.0,福建省泉州市通港西街298号,http://www.lmu.edu.cn,黎明大学,,630.0,0.0,0.0,,,,,
福建华南女子职业学院,4135011499.0,福建省教育厅,福建省,福州市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,其他,1908.0,福建省福州市闽侯县大学城学府南路66号,http://www.hnwomen.com.cn/,华南女院,,234.0,0.0,0.0,,,,,
福州职业技术学院,4135011502.0,福建省,福建省,福州市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,1.0,综合类,2002.0,福建省福州市大学城联榕路8号,http://www.fvti.cn,"福职,福职院",,1122.0,0.0,0.0,,,,,
福建林业职业技术学院,4135012625.0,福建省,福建省,南平市,专科,公办,,,,,,,0.0,0.0,,0.0,,1.0,林业技术、园林技术、木材加工技术、计算机应用技术,0.0,,0.0,0.0,0.0,0.0,农林类,1953.0,"江南校区：福建省南平市延平区海瑞路1号,天麟校区：福建省南平市延平区金山路140号",http://www.fjlzy.com,林职院,,988.0,0.0,0.0,,,,,
福建信息职业技术学院,4135012626.0,福建省,福建省,福州市,专科,公办,,,,,,,0.0,0.0,,0.0,,1.0,电子信息工程技术、计算机网络技术、电子商务,0.0,,0.0,0.0,0.0,1.0,理工类,2003.0,"龙腰校区：福建省福州市鼓楼区福飞南路106号,杜园校区：福建省福州市仓山区螺洲杜园118号",http://www.mitu.cn,福建信息学院,,1238.0,0.0,0.0,,,,,
福建水利电力职业技术学院,4135012627.0,福建省,福建省,三明市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1929.0,福建省永安市巴溪大道2199号,https://www.fjsdxy.com/,福建水院,,1080.0,0.0,0.0,,,,,
福建电力职业技术学院,4135012628.0,福建省,福建省,泉州市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1984.0,福建省泉州市丰泽区博东路329号,http://www.fjdy.net/index.html,"福建电力学院,福建电院",,500.0,0.0,0.0,,,,,
厦门海洋职业技术学院,4135012629.0,福建省,福建省,厦门市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1920.0,"思明校区：福建省厦门市思明区体育路61号,翔安校区：福建省厦门市翔安区洪钟大道4566号",http://www.xmoc.edu.cn/,,,710.0,0.0,0.0,,,,,
福建农业职业技术学院,4135012630.0,福建省,福建省,福州市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,农林类,1902.0,"福建省福州市南郊相思岭镜洋镇溪兜1号,首山校区：福建省福州市仓山区上三路190号",http://www.fjny.edu.cn,福建农职院,,1100.0,0.0,0.0,,,,,
福建卫生职业技术学院,4135012633.0,福建省,福建省,福州市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,医药类,1912.0,福建省福州市闽侯荆溪关口366号,http://www.fjwx.com.cn/,闽卫院,,590.0,0.0,0.0,,,,,
泉州医学高等专科学校,4135012634.0,福建省,福建省,泉州市,专科,公办,,,,,,,0.0,0.0,,0.0,,1.0,生物制药技术、护理,0.0,,0.0,0.0,0.0,0.0,医药类,1934.0,福建省泉州市洛江区安吉路2号,http://www.qzmc.edu.cn,,,1138.0,0.0,0.0,,,,,
福州英华职业学院,4135012708.0,福建省教育厅,福建省,福州市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,语言类,1881.0,福建省福州市闽侯荆溪镇荆港路128号,http://www.fzacc.com,,,240.0,0.0,0.0,,,,,
泉州纺织服装职业学院,4135012711.0,福建省教育厅,福建省,泉州市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2001.0,福建省泉州市石狮市学府路1358号,,泉纺,,350.0,0.0,0.0,,,,,
泉州华光职业学院,4135012927.0,福建省教育厅,福建省,泉州市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2002.0,福建省泉州市台商投资区洛阳大道491号,http://www.hgu.com,华光学院,泉州华光摄影艺术职业学院,826.0,0.0,0.0,,,,,
闽北职业技术学院,4135013764.0,福建省,福建省,南平市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1929.0,福建省南平市延平区江南新区职教园区海瑞路9号,http://www.mbu.cn,闽北职院,,500.0,0.0,0.0,,,,,
福州黎明职业技术学院,4135013765.0,福建省教育厅,福建省,福州市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,财经类,2004.0,"地球村校区：福建省福州市闽侯县南屿镇地球村,福屿校区：福建省福州市西二环中路218号",http://www.fzlmxy.cn,福州黎明学院,,300.0,0.0,0.0,,,,,
厦门演艺职业学院,4135013767.0,福建省教育厅,福建省,厦门市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,艺术类,2002.0,福建省厦门市翔安区翔安东路1995号,http://www.xmyanyi.com/,,,200.0,0.0,0.0,,,,,
厦门华天涉外职业技术学院,4135013768.0,福建省教育厅,福建省,厦门市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2002.0,福建省厦门市翔安新店洪钟大道5088号,http://www.xmht.com,"厦华院,华天涉外",,524.0,0.0,0.0,,,,,
福州科技职业技术学院,4135013769.0,福建省教育厅,福建省,福州市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,2004.0,福建省福州市仓山区上下店路60号,http://www.fzstc.com.cn/,福州科技职院,,38.0,0.0,0.0,,,,,
泉州经贸职业技术学院,4135013770.0,福建省,福建省,泉州市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,财经类,2001.0,"院本部：福建省泉州市鲤城区南环路1129号,慈山校区：福建省泉州市安溪湖头翠湖路135号",http://www.qzjmc.edu.cn,"泉州经贸,泉州经贸学院",,464.0,0.0,0.0,,,,,
福建对外经济贸易职业技术学院,4135013771.0,福建省,福建省,福州市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,1906.0,福州市鼓楼区黄铺19号,https://www.fjbu.edu.cn/,,,1500.0,0.0,0.0,,,,,LJJ_20221213
湄洲湾职业技术学院,4135013772.0,福建省,福建省,莆田市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1985.0,福建省莆田市涵江区梧塘镇荔涵东大道1001号,http://www.fjmzw.com/,湄职院,,1350.0,0.0,0.0,,,,,
福建生物工程职业技术学院,4135013969.0,福建省,福建省,福州市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,医药类,1980.0,"福建省福州市仓山区建新镇劳光村中店42号,福建省福州市鼓楼区铜盘路软件大道89号",http://www.fjvcb.cn,福建生物工程职院,,190.0,0.0,0.0,,,,,
福建艺术职业学院,4135013970.0,福建省,福建省,福州市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,艺术类,1958.0,福建省福州市闽侯西江滨大道学院路8号（闽侯行政服务中心旁）,http://www.fjyszyxy.com,,,200.0,0.0,0.0,,,,,
福建幼儿师范高等专科学校,4135013972.0,福建省,福建省,福州市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,师范类,1915.0,"仓山校区：福建省福州市仓山区长安路89号,白马校区：福建省福州市鼓楼区白马北路勺园里49号,金山校区：福建省福州市仓山区建新镇金山浦上工业集中区鼓楼园15号",http://www.fjys.edu.cn,福建幼高专,,207.0,0.0,0.0,,,,,
厦门城市职业学院,4135013973.0,福建省,福建省,厦门市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1952.0,福建省厦门市思明区前埔南路1263号,https://www.xmcu.edu.cn/,,,500.0,0.0,0.0,,,,,
泉州工艺美术职业学院,4135013975.0,福建省,福建省,泉州市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,艺术类,2005.0,福建省泉州市德化县城关学府路100号,http://www.qzgymy.net,泉州工艺美院,德化陶瓷职业技术学院,305.0,0.0,0.0,,,,,
三明医学科技职业学院,4135013976.0,福建省,福建省,三明市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1960.0,福建省三明市梅列区高岩路6号,http://www.smykzy.cn,"三明医学院,三明职院",三明职业技术学院,800.0,0.0,0.0,,,,,
宁德职业技术学院,4135013977.0,福建省,福建省,宁德市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1934.0,福建省宁德市福安福泰路232号,https://www.ndzy.cn/,,,523.0,0.0,0.0,,,,,
福州软件职业技术学院,4135013978.0,福建省教育厅,福建省,福州市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2005.0,福建省福州市长乐区滨海路168号,http://www.fzrjxy.com,,,400.0,0.0,0.0,,,,,
厦门兴才职业技术学院,4135013979.0,福建省教育厅,福建省,厦门市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1983.0,福建省厦门市集美区后溪镇兴溪路879-889号,http://www.xmxc.com,厦门兴才学院,,300.0,0.0,0.0,,,,,
厦门软件职业技术学院,4135014059.0,福建省教育厅,福建省,厦门市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,2002.0,福建省厦门市集美区孙坂南路1199号,http://www.xmist.edu.cn/,厦门软件学院,,650.0,0.0,0.0,,,,,
福建体育职业技术学院,4135014060.0,福建省,福建省,福州市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,体育类,2005.0,福建省福州市鼓楼区福飞南路151号,http://www.fjipe.cn,,,395.0,0.0,0.0,,,,,
漳州城市职业学院,4135014110.0,福建省,福建省,漳州市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1905.0,福建省漳州市芗城区西洋坪路27号,http://www.zcvc.cn/,漳城职,,180.0,0.0,0.0,,,,,
厦门南洋职业学院,4135014111.0,福建省教育厅,福建省,厦门市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2000.0,福建省厦门市翔安文教区,http://www.ny2000.com,厦门南洋学院,,600.0,0.0,0.0,,,,,
厦门东海职业技术学院,4135014112.0,福建省教育厅,福建省,厦门市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2002.0,福建省厦门市同安文教区五显中路280号,http://www.xmdh.com,厦门东海学院,,500.0,0.0,0.0,,,,,
漳州科技职业学院,4135014113.0,福建省教育厅,福建省,漳州市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2007.0,福建省漳州市国道324旁（厦深高铁漳浦站）,http://www.tftc.edu.cn/,漳科,,1100.0,0.0,0.0,,,,,
漳州理工职业学院,4135014115.0,福建省教育厅,福建省,漳州市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,2007.0,福建省漳州市龙文区鹤鸣路1号,https://www.zzlg.org/,,,2000.0,0.0,0.0,,,,,
武夷山职业学院,4135014116.0,福建省教育厅,福建省,南平市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2007.0,福建省南平市武夷山市武夷大道36号高教园区,http://www.wyszyxy.com,,,500.0,0.0,0.0,,,,,
漳州卫生职业学院,4135014117.0,福建省,福建省,漳州市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,医药类,1934.0,福建省漳州市芗城区西洋坪路29号,http://www.zzwzy.com,漳州卫院,,812.0,0.0,0.0,,,,,
泉州海洋职业学院,4135014231.0,福建省教育厅,福建省,泉州市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,2009.0,福建省石狮市祥芝镇古浮二十区1号,http://www.qzoiedu.com,泉州海洋学院,泉州泰山航海职业学院,1105.0,0.0,0.0,,,,,
泉州轻工职业学院,4135014232.0,福建省教育厅,福建省,泉州市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2009.0,福建省泉州市晋江博览大道,http://www.qzqgxy.com,泉州轻工学院,,600.0,0.0,0.0,,,,,
厦门安防科技职业学院,4135014257.0,福建省教育厅,福建省,厦门市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2004.0,福建省厦门市翔安区翔安南路3000号,http://www.xmafkj.com/,安防学院,,580.0,0.0,0.0,,,,,
泉州幼儿师范高等专科学校,4135014331.0,福建省,福建省,泉州市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,师范类,1890.0,"校本部：福建省泉州市丰泽区嘉祥路801号,永春校区：福建省泉州市永春县城北环路389号",http://www.qzygz.net/,泉州幼儿师专,,548.0,0.0,0.0,,,,,
闽江师范高等专科学校,4135014490.0,福建省,福建省,福州市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,师范类,1903.0,"旗山校区：福建省福州市上街大学城学府南路1号,仓山校区：福建省福州市仓山区城门镇城山100号",http://www.fzmjtc.cn/,闽江师专,,1174.0,0.0,0.0,,,,,
泉州工程职业技术学院,4135014503.0,福建省教育厅,福建省,泉州市,专科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,2014.0,福建省泉州市南安科技教育园区彬星988号,http://www.qzgcu.com,,,350.0,0.0,0.0,,,,,
福州墨尔本理工职业学院,4135016411.0,福建省教育厅,福建省,福州市,专科,中外合作办学,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1999.0,福建省福州市大学城闽侯县上街镇联榕路9号（闽江学院内）,http://www.fmp.edu.cn/,闽江学院爱恩国际学院,,0.0,0.0,0.0,,,,,
南昌大学,4136010403.0,江西省,江西省,南昌市,本科,公办,,,,,,,1.0,0.0,,1.0,材料科学与工程,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1921.0,江西省南昌市红谷滩新区学府大道999号,http://www.ncu.edu.cn/,NCU,国立中正大学,4321.0,0.0,1.0,33.38,26.87,,,
